month,actual_precipitation,city,city_name,,
1,0.118064516,KSEA,"Seattle, WA",,
2,0.188214286,KSEA,"Seattle, WA",,
3,0.144193548,KSEA,"Seattle, WA",,
4,0.067666667,KSEA,"Seattle, WA",,
5,0.018709677,KSEA,"Seattle, WA",,
6,0.007666667,KSEA,"Seattle, WA",,
7,0.02483871,KSEA,"Seattle, WA",,
8,0.058387097,KSEA,"Seattle, WA",,
9,0.074333333,KSEA,"Seattle, WA",,
10,0.217741935,KSEA,"Seattle, WA",,
11,0.161333333,KSEA,"Seattle, WA",,
12,0.154516129,KSEA,"Seattle, WA",,
1,0.090322581,CLT,"Charlotte, NC",,
2,0.107857143,CLT,"Charlotte, NC",,
3,0.070645161,CLT,"Charlotte, NC",,
4,0.204666667,CLT,"Charlotte, NC",,
5,0.010322581,CLT,"Charlotte, NC",,
6,0.091,CLT,"Charlotte, NC",,
7,0.141290323,CLT,"Charlotte, NC",,
8,0.120645161,CLT,"Charlotte, NC",,
9,0.145,CLT,"Charlotte, NC",,
10,0.043548387,CLT,"Charlotte, NC",,
11,0.126333333,CLT,"Charlotte, NC",,
12,0.082903226,CLT,"Charlotte, NC",,
1,0.03516129,CQT,"Caquetania, Colombia",,
2,0.029642857,CQT,"Caquetania, Colombia",,
3,0.028064516,CQT,"Caquetania, Colombia",,
4,0.004333333,CQT,"Caquetania, Colombia",,
5,0.03,CQT,"Caquetania, Colombia",,
6,0.000333333,CQT,"Caquetania, Colombia",,
7,0,CQT,"Caquetania, Colombia",,
8,0.001290323,CQT,"Caquetania, Colombia",,
9,0.000333333,CQT,"Caquetania, Colombia",,
10,0.008064516,CQT,"Caquetania, Colombia",,
11,0.016,CQT,"Caquetania, Colombia",,
12,0.12516129,CQT,"Caquetania, Colombia",,
1,0.058387097,IND,"Indianapolis, IN",,
2,0.047857143,IND,"Indianapolis, IN",,
3,0.113870968,IND,"Indianapolis, IN",,
4,0.133333333,IND,"Indianapolis, IN",,
5,0.079032258,IND,"Indianapolis, IN",,
6,0.278666667,IND,"Indianapolis, IN",,
7,0.1,IND,"Indianapolis, IN",,
8,0.09516129,IND,"Indianapolis, IN",,
9,0.084333333,IND,"Indianapolis, IN",,
10,0.102258065,IND,"Indianapolis, IN",,
11,0.093333333,IND,"Indianapolis, IN",,
12,0.082258065,IND,"Indianapolis, IN",,
1,0.099354839,JAX,"Jacksonville, FL",,
2,0.118571429,JAX,"Jacksonville, FL",,
3,0.073870968,JAX,"Jacksonville, FL",,
4,0.089,JAX,"Jacksonville, FL",,
5,0.03483871,JAX,"Jacksonville, FL",,
6,0.210666667,JAX,"Jacksonville, FL",,
7,0.088709677,JAX,"Jacksonville, FL",,
8,0.097741935,JAX,"Jacksonville, FL",,
9,0.326666667,JAX,"Jacksonville, FL",,
10,0.060322581,JAX,"Jacksonville, FL",,
11,0.132,JAX,"Jacksonville, FL",,
12,0.120645161,JAX,"Jacksonville, FL",,
1,0.039677419,MDW,"Chicago, IL",,
2,0.008571429,MDW,"Chicago, IL",,
3,0.015483871,MDW,"Chicago, IL",,
4,0.098,MDW,"Chicago, IL",,
5,0.133225806,MDW,"Chicago, IL",,
6,0.145666667,MDW,"Chicago, IL",,
7,0.167096774,MDW,"Chicago, IL",,
8,0.299354839,MDW,"Chicago, IL",,
9,0.083333333,MDW,"Chicago, IL",,
10,0.117419355,MDW,"Chicago, IL",,
11,0.042333333,MDW,"Chicago, IL",,
12,0.02516129,MDW,"Chicago, IL",,
1,0.145806452,PHL,"Philadelphia, PA",,
2,0.084285714,PHL,"Philadelphia, PA",,
3,0.178064516,PHL,"Philadelphia, PA",,
4,0.119333333,PHL,"Philadelphia, PA",,
5,0.038387097,PHL,"Philadelphia, PA",,
6,0.296,PHL,"Philadelphia, PA",,
7,0.138709677,PHL,"Philadelphia, PA",,
8,0.114516129,PHL,"Philadelphia, PA",,
9,0.056333333,PHL,"Philadelphia, PA",,
10,0.081612903,PHL,"Philadelphia, PA",,
11,0.135666667,PHL,"Philadelphia, PA",,
12,0.105483871,PHL,"Philadelphia, PA",,
1,0.026129032,PHX,"Phoenix, AZ",,
2,0.000357143,PHX,"Phoenix, AZ",,
3,0.010645161,PHX,"Phoenix, AZ",,
4,0.006,PHX,"Phoenix, AZ",,
5,0.037741935,PHX,"Phoenix, AZ",,
6,0.008333333,PHX,"Phoenix, AZ",,
7,0.001935484,PHX,"Phoenix, AZ",,
8,0.037741935,PHX,"Phoenix, AZ",,
9,0.17,PHX,"Phoenix, AZ",,0
10,0.004193548,PHX,"Phoenix, AZ",,
11,0,PHX,"Phoenix, AZ",,
12,0.029354839,PHX,"Phoenix, AZ",,
1,0.102258065,KHOU,"Phon Savan, China",,
2,0.023571429,KHOU,"Phon Savan, China",,
3,0.204516129,KHOU,"Phon Savan, China",,
4,0.203333333,KHOU,"Phon Savan, China",,
5,0.457096774,KHOU,"Phon Savan, China",,
6,0.373,KHOU,"Phon Savan, China",,
7,0.174193548,KHOU,"Phon Savan, China",,
8,0.04,KHOU,"Phon Savan, China",,
9,0.129333333,KHOU,"Phon Savan, China",,
10,0.111290323,KHOU,"Phon Savan, China",,
11,0.113333333,KHOU,"Phon Savan, China",,
12,0.180645161,KHOU,"Phon Savan, China",,
1,0.168709677,KNYC,"New York, NY",,
2,0.072857143,KNYC,"New York, NY",,
3,0.152258065,KNYC,"New York, NY",,
4,0.069333333,KNYC,"New York, NY",,
5,0.06,KNYC,"New York, NY",,
6,0.158333333,KNYC,"New York, NY",,
7,0.180322581,KNYC,"New York, NY",,
8,0.072580645,KNYC,"New York, NY",,
9,0.040333333,KNYC,"New York, NY",,
10,0.186129032,KNYC,"New York, NY",,
11,0.150333333,KNYC,"New York, NY",,
12,0.19483871,KNYC,"New York, NY",,